Date,Region,Product Category,Product Name,Sales Amount,Cost,Profit,Quantity Sold,Customer Segment
2023-01-04,East,Peripherals,Wireless Mouse,90,30,60,2,Corporate
2023-02-06,East,Peripherals,Mechanical Keyboard,960,480,480,8,Corporate
2023-07-28,North,Software,Cloud Storage,9000,1800,7200,36,Small Business
2023-03-29,East,Peripherals,4K Monitor,9450,5940,3510,27,Enterprise
2023-07-02,South,Peripherals,Mechanical Keyboard,3720,1860,1860,31,Consumer
2023-07-29,West,Software,CRM License,31200,3900,27300,39,Enterprise
2023-03-28,East,Software,Antivirus Pack,1740,290,1450,29,Enterprise
2023-05-11,North,Software,CRM License,40000,5000,35000,50,Small Business
2023-10-31,West,Hardware,iPad Pro,11988,9000,2988,12,Small Business
2023-06-22,North,Software,Antivirus Pack,60,10,50,1,Small Business
2023-08-02,North,Peripherals,Docking Station,7050,3760,3290,47,Small Business
2023-09-06,West,Software,CRM License,24000,3000,21000,30,Small Business
2023-06-30,North,Hardware,MacBook Pro,18000,14400,3600,9,Consumer
2023-04-24,East,Software,Antivirus Pack,1500,250,1250,25,Enterprise
2023-06-30,West,Peripherals,4K Monitor,1050,660,390,3,Enterprise
2023-08-31,East,Software,CRM License,36800,4600,32200,46,Corporate
2023-03-20,South,Hardware,MacBook Pro,22000,17600,4400,11,Enterprise
2023-11-23,North,Peripherals,Wireless Mouse,315,105,210,7,Enterprise
2023-06-25,West,Hardware,ThinkPad T14,22800,17100,5700,19,Small Business
2023-10-24,East,Hardware,iPad Pro,24975,18750,6225,25,Corporate
2023-02-18,East,Software,Cloud Storage,7750,1550,6200,31,Consumer
2023-06-07,North,Software,Antivirus Pack,360,60,300,6,Small Business
2023-12-25,North,Hardware,iPad Pro,41958,31500,10458,42,Small Business
2023-07-10,West,Hardware,MacBook Pro,100000,80000,20000,50,Enterprise
2023-09-22,South,Software,Data Analytics Tool,63000,12600,50400,42,Corporate
2023-03-22,South,Peripherals,Wireless Mouse,675,225,450,15,Small Business
2023-11-20,South,Peripherals,Docking Station,300,160,140,2,Consumer
2023-05-12,North,Software,Data Analytics Tool,22500,4500,18000,15,Consumer
2023-08-09,North,Software,CRM License,28800,3600,25200,36,Small Business
2023-05-15,East,Hardware,iPad Pro,15984,12000,3984,16,Consumer
2023-11-20,North,Software,Antivirus Pack,3000,500,2500,50,Enterprise
2023-03-24,West,Software,Data Analytics Tool,72000,14400,57600,48,Enterprise
2023-08-14,East,Software,CRM License,18400,2300,16100,23,Small Business
2023-10-30,North,Hardware,ThinkPad T14,31200,23400,7800,26,Small Business
2023-07-05,South,Peripherals,Docking Station,7350,3920,3430,49,Corporate
2023-10-18,North,Hardware,MacBook Pro,58000,46400,11600,29,Small Business
2023-04-17,North,Software,Antivirus Pack,1860,310,1550,31,Corporate
2023-01-22,South,Software,Data Analytics Tool,54000,10800,43200,36,Corporate
2023-08-18,South,Hardware,MacBook Pro,88000,70400,17600,44,Enterprise
2023-01-03,South,Peripherals,4K Monitor,350,220,130,1,Enterprise
2023-01-28,East,Software,Cloud Storage,6000,1200,4800,24,Small Business
2023-05-01,West,Hardware,ThinkPad T14,45600,34200,11400,38,Small Business
2023-02-13,West,Peripherals,Mechanical Keyboard,3360,1680,1680,28,Consumer
2023-12-29,East,Peripherals,4K Monitor,4900,3080,1820,14,Consumer
2023-10-10,East,Software,Cloud Storage,6250,1250,5000,25,Enterprise
2023-06-25,West,Software,Cloud Storage,4000,800,3200,16,Small Business
2023-01-06,South,Hardware,MacBook Pro,50000,40000,10000,25,Small Business
2023-10-02,South,Peripherals,Wireless Mouse,675,225,450,15,Small Business
2023-03-04,North,Software,Data Analytics Tool,13500,2700,10800,9,Enterprise
2023-05-30,West,Hardware,ThinkPad T14,31200,23400,7800,26,Corporate
2023-05-08,South,Hardware,Dell XPS 15,7500,5500,2000,5,Corporate
